NbSim,MCPrice,QMCPrice,BS_price
100,6.33657,5.96964,6.06195
200,6.01913,5.94088,6.06195
300,5.80269,5.97873,6.06195
400,6.16609,5.99016,6.06195
500,5.84745,6.21691,6.06195
600,5.92859,6.09971,6.06195
700,6.32655,6.24914,6.06195
800,6.23358,6.10401,6.06195
900,5.82074,6.0319,6.06195
1000,6.15975,5.9746,6.06195
1100,6.17007,6.25659,6.06195
1200,6.23063,6.23008,6.06195
1300,5.8759,6.17243,6.06195
1400,6.00453,5.97381,6.06195
1500,6.05579,6.0149,6.06195
1600,6.11714,6.00505,6.06195
1700,5.92207,6.08108,6.06195
1800,6.0385,5.90924,6.06195
1900,5.82335,6.12788,6.06195
2000,6.06461,6.02499,6.06195
2100,6.08739,5.94336,6.06195
2200,6.05986,5.95754,6.06195
2300,6.16931,6.08393,6.06195
2400,6.0357,6.08401,6.06195
2500,5.94735,6.05489,6.06195
2600,6.07254,5.95119,6.06195
2700,6.11711,5.96787,6.06195
2800,6.01435,6.00393,6.06195
2900,6.05151,5.95504,6.06195
3000,5.96894,6.05989,6.06195
3100,6.09264,6.0532,6.06195
3200,6.04953,6.04299,6.06195
3300,5.90855,6.03398,6.06195
3400,5.98051,6.08681,6.06195
3500,6.0845,6.02025,6.06195
3600,6.17334,6.07611,6.06195
3700,6.08387,5.96064,6.06195
3800,6.0154,6.08808,6.06195
3900,6.1972,6.14424,6.06195
4000,6.0494,6.12036,6.06195
4100,6.05574,6.11487,6.06195
4200,5.93978,6.10785,6.06195
4300,6.15191,6.10534,6.06195
4400,5.90118,6.01636,6.06195
4500,6.04367,6.02589,6.06195
4600,6.0888,6.01556,6.06195
4700,5.95576,6.03307,6.06195
4800,6.07204,6.08641,6.06195
4900,6.00369,6.05058,6.06195
5000,6.05407,6.12084,6.06195
5100,6.13925,6.05835,6.06195
5200,6.0251,6.01468,6.06195
5300,5.98995,6.05361,6.06195
5400,6.12405,6.04951,6.06195
5500,6.07571,6.06434,6.06195
5600,6.07308,6.07951,6.06195
5700,5.99617,6.08363,6.06195
5800,6.10453,6.06537,6.06195
5900,6.13877,6.00628,6.06195
6000,6.12922,6.03404,6.06195
6100,6.18366,6.0917,6.06195
6200,6.15727,6.0323,6.06195
6300,6.06835,6.05791,6.06195
6400,6.11185,6.01778,6.06195
6500,5.99616,6.07561,6.06195
6600,5.9196,6.07116,6.06195
6700,6.03679,6.05164,6.06195
6800,6.05821,6.05912,6.06195
6900,5.97706,6.03321,6.06195
7000,5.99792,6.08087,6.06195
7100,6.11709,5.99375,6.06195
7200,6.0035,6.03568,6.06195
7300,6.10874,6.05242,6.06195
7400,6.0062,6.0749,6.06195
7500,6.09006,6.08964,6.06195
7600,6.02631,6.04433,6.06195
7700,6.07953,6.05028,6.06195
7800,6.04025,6.0364,6.06195
7900,5.97106,6.07965,6.06195
8000,6.02669,6.05533,6.06195
8100,6.06517,6.09832,6.06195
8200,6.08714,6.11989,6.06195
8300,6.03957,6.00187,6.06195
8400,6.01132,6.05715,6.06195
8500,6.11866,6.0473,6.06195
